"response_id","survey_duration","q1_role","q1_role_other","q2_dime_yes","q3_institution","q3_institution_other","q4_responsibility_run","q4_responsibility_review","q4_responsibility_field","q4_responsibility_none","q4_responsibility_other","q5_check_period","q5_check_period_other","q6_hfc_tool_ipacheck","q6_hfc_tool_unhcr","q6_hfc_tool_r_pkgs","q6_hfc_tool_surveycto","q6_hfc_tool_custom_stata","q6_hfc_tool_custom_r","q6_hfc_tool_none","q6_hfc_tool_other","q7_hfc_setup_time","q8_hfc_check_dup","q8_hfc_check_missing","q8_hfc_check_outliers","q8_hfc_check_enum","q8_hfc_check_admin","q8_hfc_check_logic","q8_hfc_check_progress","q8_hfc_check_desc_stats","q8_hfc_check_enum_comments","q8_hfc_check_none","q8_hfc_check_other","q9_hfc_wish_dup","q9_hfc_wish_missing","q9_hfc_wish_outliers","q9_hfc_wish_enum","q9_hfc_wish_admin","q9_hfc_wish_logic","q9_hfc_wish_progress","q9_hfc_wish_desc_stats","q9_hfc_wish_enum_comments","q9_hfc_wish_none","q9_hfc_wish_other","q10_hfc_limits","q11_hfc_output_xls","q11_hfc_output_gdoc","q11_hfc_output_dyn","q11_hfc_output_shiny","q11_hfc_output_none","q11_hfc_output_other","q12_hfc_output_limits","q13_hfc_aware_ipacheck","q13_hfc_aware_unhcr","q13_hfc_aware_r_pkgs","q13_hfc_aware_surveycto","q13_hfc_aware_custom_stata","q13_hfc_aware_custom_r","q13_hfc_aware_none","q13_hfc_aware_other","q14_hfc_improve_ipacheck_access","q14_hfc_improve_ipacheck_function","q14_hfc_improve_ipacheck_custom","q14_hfc_improve_ipacheck_repli","q14_hfc_improve_ipacheck_share","q14_hfc_improve_ipacheck_none","q14_hfc_improve_unhcr_access","q14_hfc_improve_unhcr_function","q14_hfc_improve_unhcr_custom","q14_hfc_improve_unhcr_repli","q14_hfc_improve_unhcr_share","q14_hfc_improve_unhcr_none","q14_hfc_improve_r_pkgs_access","q14_hfc_improve_r_pkgs_function","q14_hfc_improve_r_pkgs_custom","q14_hfc_improve_r_pkgs_repli","q14_hfc_improve_r_pkgs_share","q14_hfc_improve_r_pkgs_none","q14_hfc_improve_surveycto_access","q14_hfc_improve_surveycto_function","q14_hfc_improve_surveycto_custom","q14_hfc_improve_surveycto_repli","q14_hfc_improve_surveycto_share","q14_hfc_improve_surveycto_none","q14_hfc_improve_custom_stata_access","q14_hfc_improve_custom_stata_function","q14_hfc_improve_custom_stata_custom","q14_hfc_improve_custom_stata_repli","q14_hfc_improve_custom_stata_share","q14_hfc_improve_custom_stata_none","q14_hfc_improve_custom_r_access","q14_hfc_improve_custom_r_function","q14_hfc_improve_custom_r_custom","q14_hfc_improve_custom_r_repli","q14_hfc_improve_custom_r_share","q14_hfc_improve_custom_r_none","q14_hfc_improve_other_access","q14_hfc_improve_other_function","q14_hfc_improve_other_custom","q14_hfc_improve_other_repli","q14_hfc_improve_other_share","q14_hfc_improve_other_none","q15_hfc_ideal","formdef_version","key","submissiondate","starttime","endtime"
"1001","12765","Researcher (Research Assistant)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2303311305,"uuid:e380273f-9a9c-4366-8b4f-27b15eba742c",2023-04-03 14:42:57,2023-04-03 11:10:11,2023-04-03 14:42:56
"1002","503","Researcher (Research Assistant)",,"Yes",,,1,1,0,0,,"Daily",,0,0,0,0,1,0,0,,40,1,1,1,1,1,1,1,1,0,0,,0,0,0,0,0,0,0,0,0,1,,,1,0,1,0,0,,,1,0,0,0,0,1,0,,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,1,0,,,,,,,,2304051412,"uuid:4b2c5384-5343-4c30-b63c-6eb050d5b342",2023-04-05 20:36:31,2023-04-05 20:28:08,2023-04-05 20:36:31
"1003","300","Researcher (Research Assistant)",,"Yes",,,1,1,1,0,,"Daily",,0,0,0,0,1,1,0,,5,1,1,1,1,1,1,1,1,1,0,,,,,,,,,,,,,,0,1,1,1,0,,,1,1,1,1,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,"Better shiny app adaptability (?)",2304051412,"uuid:67b9e2a8-7d62-4a12-80b2-6267a03e4740",2023-04-05 20:49:02,2023-04-05 20:44:01,2023-04-05 20:49:02
"1004","272","Student",,"No","University, research institute or think tank",,0,1,0,0,,"Weekly",,0,1,1,0,0,1,0,,,1,1,1,0,1,0,0,0,0,0,,0,0,0,1,0,1,1,0,0,0,,"It's usability. It requires the knowledge of data programming",1,1,0,0,0,,"Yes",1,0,0,1,0,0,0,,0,1,1,0,0,0,,,,,,,,,,,,,0,1,0,0,1,0,,,,,,,,,,,,,,,,,,,,2304051412,"uuid:4499d21d-91c9-4f8b-8a32-bba6161f70f5",2023-04-05 20:58:25,2023-04-05 20:53:53,2023-04-05 20:58:24
"1005","290","Researcher (Field Coordinator)",,"No","Non-governmental organization (NGO)",,1,0,0,0,,"More than once a week",,0,0,1,0,1,0,0,,,1,1,1,1,1,1,0,0,1,0,,0,0,0,0,0,0,1,0,0,0,,,1,1,0,0,0,,,1,0,0,0,0,0,0,,0,0,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2304051412,"uuid:8fe7b1da-18fc-4858-8e50-547c9ae379b7",2023-04-05 21:35:49,2023-04-05 21:30:59,2023-04-05 21:35:49
"1006","461","Student",,"No","Non-governmental organization (NGO)",,1,1,1,0,,"Daily",,0,0,0,1,0,0,0,,2,1,0,0,0,1,1,1,1,0,0,,0,1,1,1,0,0,0,0,0,0,,"I always get a terrible errors",1,1,0,0,0,,"Yes",1,0,1,0,0,0,0,,0,1,1,0,0,0,,,,,,,0,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,"Free errors",2304051412,"uuid:7b1c2313-5719-43a4-8212-619a550c9002",2023-04-05 22:56:04,2023-04-05 22:48:23,2023-04-05 22:56:04
"1007","552","M&E (In-House)",,"No","Non-governmental organization (NGO)",,1,1,0,0,,"Daily",,1,0,0,1,0,0,0,,6,1,1,1,1,1,1,1,0,0,0,,0,0,0,0,0,0,0,0,1,0,,"It takes time to set up and is difficult for lay people to interpret.",1,0,0,0,0,,"It does, but would be great to see it all in one dynamic document",0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,1,0,,,,,,,,,,,,,"Simpler function for processing comments. Ability to summarise the report in one dynamic document",2304051412,"uuid:3ed8c3d1-37fa-4279-8abb-116972ecc2a6",2023-04-06 00:40:16,2023-04-06 00:31:04,2023-04-06 00:40:16
"1008","544","Data scientist",,"No","Government agency/ministry",,1,1,0,0,,"Weekly",,0,0,0,0,1,0,0,"Spreadsheets",99,1,1,1,1,1,1,1,1,0,0,,0,0,0,0,0,0,0,0,0,1,,"n/a",1,1,1,0,0,,"Yes",1,0,0,0,0,0,0,,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Customizable frequency settings: The ability to adjust the frequency of checks to meet specific needs, such as hourly, daily, weekly, or monthly intervals. User-friendly interface: A clean, easy-to-use interface that allows users to quickly set up and configure checks, and view the results of those checks. Multi-platform support: The ability to run checks across different operating systems, such as Windows, Mac, and Linux. Email notifications: The ability to send notifications via email when a check fails, or when certain conditions are met. Integration with other tools: The ability to integrate with other tools, such as monitoring systems or dashboards, to provide a more comprehensive view of system health. Customizable alerts: The ability to customize alerts based on severity, urgency, or other criteria. Historical data tracking: The ability to store and track historical data for trend analysis and reporting. Automated remediation: The ability to automatically perform remediation actions when a check fails, such as restarting a service or triggering a script. Security features: The ability to securely store and transmit sensitive information, such as login credentials or API keys. Robust reporting: The ability to generate detailed reports on check results, with customizable metrics and visualizations.",2304051412,"uuid:bcb1b2bf-c39f-4b1f-9e80-59231afa60bc",2023-04-06 02:00:20,2023-04-06 01:51:16,2023-04-06 02:00:20
"1009","220",,,,,,0,0,0,0,,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2304051412,"uuid:dbecbb31-c6a5-4bc1-bc09-a9956b4d706c",2023-04-06 02:06:07,2023-04-06 02:02:26,2023-04-06 02:06:07
"1010","205","Researcher (Research Assistant)",,"No","Private sector/For-profit organization",,1,1,1,0,,"Daily",,0,0,0,1,1,0,0,,5,1,1,1,1,1,1,0,1,1,0,,0,0,0,0,0,0,1,0,0,0,,"Inconsistent between surveys",1,1,0,0,0,,"No, sometimes hard to interpret which findings are most important",0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2304051412,"uuid:85881f3a-f085-4247-bd2f-d66d579159d9",2023-04-06 02:35:24,2023-04-06 02:31:59,2023-04-06 02:35:24
